
mm/dd, 2009:TDA:tempscr (C), 2008:TDA:tempscr (C), 2007:TDA:tempscr (C), 2004:TDA:tempscr (C), 2003:TDA:tempscr (C), 2002:TDA:tempscr (C), 2001:TDA:tempscr (C), 2000:TDA:tempscr (C), 1999:TDA:tempscr (C), 1998:TDA:tempscr (C), 1997:TDA:tempscr (C), 1996:TDA:tempscr (C), 1995:TDA:tempscr (C), 1994:TDA:tempscr (C), 1993:TDA:tempscr (C), 1992:TDA:tempscr (C), 1991:TDA:tempscr (C), 1990:TDA:tempscr (C), 1989:TDA:tempscr (C), 1988:TDA:tempscr (C), 1987:TDA:tempscr (C), 1986:TDA:tempscr (C), 1985:TDA:tempscr (C), 1984:TDA:tempscr (C), 1983:TDA:tempscr (C), 1982:TDA:tempscr (C), 1981:TDA:tempscr (C), 1980:TDA:tempscr (C), 1979:TDA:tempscr (C), 1976:TDA:tempscr (C), 1975:TDA:tempscr (C), 1974:TDA:tempscr (C), 1973:TDA:tempscr (C), 1972:TDA:tempscr (C), 1971:TDA:tempscr (C), 1970:TDA:tempscr (C)
5/25, NA, NA, NA, 15.000, 13.900, 15.000, 18.300, 13.900, 13.300, 13.300, 13.300, NA, 14.400, 14.444, 14.444, 14.444, 12.778, 13.333, 13.333, 13.890, 14.444, 12.778, 13.889, 12.778, 15.000, 13.890, 13.330, 13.889, NA, NA, NA, NA, NA, NA, NA, NA
5/26, NA, NA, NA, NA, 13.300, 15.000, 18.900, NA, NA, 12.800, 13.300, 12.800, 14.400, 15.000, 15.000, 14.444, 12.778, 13.333, 13.333, 13.890, 14.444, 13.333, 13.889, 13.889, 15.556, 13.890, 13.330, 13.889, NA, NA, NA, NA, NA, NA, NA, NA
5/27, NA, NA, NA, 15.000, 13.900, 15.000, 17.800, 13.300, NA, 12.800, 13.300, 12.800, 15.000, 14.444, 14.444, 15.000, 12.778, 13.889, 13.333, 14.440, 14.444, 13.889, 13.889, 12.222, 15.556, 13.890, 13.890, 13.333, NA, NA, NA, NA, NA, NA, NA, NA
5/28, NA, NA, NA, 14.400, 13.900, 16.700, 18.300, 13.900, 13.300, 12.800, 13.300, 12.200, 15.000, 12.778, 12.778, 15.000, 12.778, 13.889, 13.333, 14.440, 14.444, 13.889, 15.000, 12.778, 15.556, 13.890, 13.890, 13.333, NA, NA, NA, NA, NA, NA, NA, NA
5/29, NA, NA, NA, 14.400, 13.900, 13.900, 18.300, 14.400, 12.800, 12.800, 13.300, 12.200, 15.600, 14.444, 14.444, 15.556, 12.778, 13.889, 10.556, 14.440, 15.000, 13.333, 15.000, 12.778, 15.556, 13.330, 15.000, 13.333, NA, NA, NA, NA, 15.700, NA, NA, NA
5/30, NA, NA, NA, 17.800, 15.600, 16.700, 18.300, 15.000, NA, NA, 13.300, 12.800, 15.600, 14.444, 14.444, 15.000, 12.778, 13.889, 13.333, 14.440, 15.000, 15.000, 15.000, 12.778, 15.556, 13.890, 15.000, 13.333, 14.360, NA, NA, NA, NA, NA, NA, NA
5/31, NA, NA, NA, 15.000, 15.000, 17.200, 18.300, 15.000, 15.000, NA, 13.300, 12.800, 15.600, 14.444, 14.444, 15.556, 12.222, 13.889, 13.333, 14.440, 15.000, 15.556, 15.556, 13.333, 16.111, 13.890, 15.000, 13.333, 15.000, NA, NA, NA, NA, NA, NA, NA
6/1, NA, NA, NA, 15.000, 14.400, 17.200, 18.300, 15.000, 15.000, 13.900, 13.300, 12.800, 16.100, 15.556, 14.444, 15.556, 12.778, 13.889, 13.889, 14.440, 15.000, 15.000, 15.556, 13.333, 16.111, 13.330, 15.000, 13.889, 15.000, NA, NA, NA, NA, NA, 13.100, NA
6/2, NA, NA, 15.600, 14.400, 14.400, 14.400, 13.900, 15.000, 13.900, 13.900, 13.900, 13.300, 17.200, 15.556, 14.444, 16.667, 12.778, 13.889, 13.889, 14.440, 14.444, 16.667, 15.000, 13.222, 16.111, 13.890, 15.000, 13.889, 15.000, NA, NA, NA, NA, NA, NA, NA
6/3, NA, NA, 15.600, 15.600, 15.000, 16.700, NA, 15.600, 14.400, NA, 13.900, 13.300, 16.700, 15.556, 14.444, 16.111, 12.778, 13.889, 14.444, 14.440, 14.444, 16.667, 15.556, 13.278, 16.111, 13.330, 15.000, 13.889, 15.000, NA, 14.200, NA, NA, NA, NA, 14.400
6/4, NA, NA, 16.100, 16.100, 15.000, 15.000, NA, 15.600, 14.400, 13.900, 13.900, 13.300, 16.700, 15.000, 14.444, 16.111, 12.778, 13.889, 13.889, 14.440, 14.444, 16.111, 15.556, 13.889, 16.111, 13.330, 14.440, 13.889, 15.600, NA, NA, 13.850, NA, NA, NA, NA
6/5, NA, NA, 15.600, 15.600, 15.000, 15.600, 16.100, 15.600, 14.400, 13.900, 14.400, 13.300, 16.700, 14.444, 13.889, 16.111, 13.333, 13.889, 14.444, 14.440, 15.000, 16.667, 15.556, 13.889, 15.556, 13.330, 14.440, 14.444, 14.904, NA, NA, NA, NA, 15.100, NA, NA
6/6, NA, NA, 15.600, 15.600, 15.000, 15.000, 17.200, 15.600, 13.900, 13.900, 13.900, 13.300, 15.600, 15.556, 14.444, 15.556, 13.889, 13.889, 14.444, 14.440, 15.000, 16.667, 15.556, 13.889, 15.556, 13.330, 14.440, 14.444, 15.600, NA, NA, NA, NA, 14.467, NA, NA
6/7, NA, NA, 15.600, 15.600, 16.100, 17.200, 16.700, 15.600, 13.900, 13.900, 13.900, 13.300, 15.600, 15.556, 14.444, 16.111, 13.889, 14.444, 14.444, 14.440, 15.000, 16.667, 15.000, 13.889, 15.556, 13.330, 15.000, 13.889, 15.600, 13.200, NA, NA, NA, NA, NA, NA
6/8, NA, NA, 16.100, 13.900, 16.700, 15.600, 17.200, 16.100, 13.300, 13.300, 13.900, 14.400, 15.600, 15.556, 14.444, 16.111, 14.444, 14.444, 16.111, 14.440, 15.000, 16.111, 15.556, 13.889, 15.556, 13.890, 14.440, 14.444, 15.600, NA, NA, NA, NA, NA, 12.875, NA
6/9, NA, NA, 16.100, 14.400, 16.100, 15.000, 17.800, 14.400, 13.300, 16.100, 13.900, 14.400, 15.600, 15.556, 15.556, 17.222, 13.889, 14.444, 16.111, 14.440, 15.000, 16.111, 15.556, 13.889, 16.111, 13.890, 14.440, 13.889, 15.600, NA, NA, NA, NA, NA, 12.800, NA
6/10, NA, NA, 15.600, 15.600, 16.100, 15.000, 17.800, 15.000, 13.300, 16.100, 14.400, 14.400, 15.600, 16.111, 15.000, 17.778, 13.889, 14.444, 16.667, 14.440, 16.111, 16.667, 15.556, 13.889, 16.111, 13.890, 14.440, 14.444, 15.600, NA, NA, NA, NA, NA, NA, NA
6/11, NA, NA, 15.600, 15.600, 16.100, 13.900, 15.600, 15.000, 14.400, 16.100, 14.400, 15.000, 15.600, 15.556, 15.556, 17.778, 15.000, 13.889, 16.111, 14.440, 15.000, 16.667, 16.111, 13.889, 16.111, 13.890, 13.890, 14.444, 16.100, NA, NA, NA, NA, NA, NA, NA
6/12, NA, NA, 15.600, 15.600, 16.100, 15.000, 17.800, 15.600, 14.400, 16.700, 15.000, 15.000, 16.100, 16.111, 15.556, 17.222, 15.000, 14.444, 17.222, 15.000, 16.667, 16.667, 16.111, 13.889, 15.556, 13.890, 14.440, 15.000, 16.100, NA, NA, NA, 16.800, NA, NA, NA
6/13, NA, NA, 16.100, 15.600, 15.600, 15.000, 18.300, 15.600, 15.000, 16.700, 14.400, 15.600, 14.400, 16.111, 15.556, 17.778, 15.000, 14.444, 16.667, 15.000, 16.667, 16.667, 16.111, 13.889, 15.556, 14.440, 14.440, 15.000, 16.100, NA, NA, NA, NA, NA, NA, NA
6/14, NA, NA, 15.600, 15.600, 15.600, 15.000, 18.300, 16.100, 14.400, 16.700, 14.400, 15.600, 15.600, 16.667, 16.111, 17.778, 15.000, 14.444, 17.222, 15.000, 17.222, 16.944, 16.111, 13.889, 15.556, 15.000, 14.440, 15.000, 16.050, NA, NA, NA, NA, NA, NA, NA
6/15, NA, NA, 16.100, 15.000, 15.600, 13.900, 17.200, 15.600, 14.400, 16.700, 14.400, 14.400, 15.600, 16.111, 16.111, 17.778, 15.000, 14.444, 17.222, 15.000, 17.222, 16.667, 16.670, 14.444, 16.111, 15.000, 14.440, 15.000, NA, NA, NA, NA, NA, NA, 13.933, NA
6/16, NA, NA, 16.100, 15.000, 17.200, 13.300, 16.700, 16.700, 14.400, 17.200, 15.000, 15.000, 15.600, 16.111, 16.111, 17.778, 15.000, 14.444, 17.222, 15.560, 16.667, 17.222, 16.670, 14.444, 16.111, 15.000, 14.440, 15.000, NA, NA, NA, NA, NA, NA, NA, NA
6/17, NA, NA, 15.600, 15.000, 17.800, 13.300, 16.700, 16.700, 14.400, 18.300, 14.400, 15.000, 16.100, 16.111, 17.222, 17.778, 15.556, 14.444, 17.222, 15.560, 16.667, 17.222, 18.330, 14.444, 16.667, 15.560, 14.440, 15.000, NA, NA, 14.950, NA, NA, NA, NA, NA
6/18, NA, NA, 16.100, 16.100, 17.200, 13.300, 16.100, 16.700, 14.400, 17.200, 14.400, 15.600, 16.100, 16.111, 16.667, 17.778, 15.000, 14.444, 17.222, 15.560, 16.667, 17.222, 17.220, 14.444, 16.111, 16.110, 14.440, 15.000, NA, NA, NA, NA, NA, NA, NA, NA
6/19, NA, NA, 16.700, 16.100, 16.700, 13.300, 17.800, 16.700, 14.400, 17.200, 15.000, 16.100, 16.100, 16.667, 17.222, 17.778, 15.000, 15.556, 17.222, 16.670, 17.222, 17.222, 17.778, 14.444, 16.667, 16.670, 14.440, 15.556, NA, NA, NA, 15.800, NA, NA, NA, NA
6/20, NA, NA, 16.100, 16.100, 17.200, 13.300, 17.800, 16.700, 15.000, 17.200, 15.000, 15.000, 16.100, 16.667, 17.222, 17.778, 14.444, 15.556, 17.222, 15.560, 16.667, 17.778, 17.778, 14.444, 16.667, 16.670, 15.000, 15.556, NA, NA, NA, NA, NA, 14.767, NA, NA
6/21, NA, NA, 16.100, 17.200, 17.200, 13.300, 17.200, 16.700, 15.000, 17.200, 15.000, 15.000, NA, 16.667, 17.222, 17.778, 15.000, 16.111, 17.778, 15.560, 17.222, 17.222, 17.778, 14.444, 16.667, 17.220, 15.000, 16.111, NA, 15.700, NA, NA, NA, NA, 14.580, NA
6/22, NA, NA, 16.100, 19.400, 16.700, 15.600, 17.200, 16.700, 15.000, 17.800, 15.000, 15.600, NA, 17.222, 17.778, 17.778, 14.772, 16.667, 18.333, 16.110, 17.222, 17.222, 17.778, 15.556, 16.667, 16.670, 15.000, 16.667, NA, NA, NA, NA, NA, NA, NA, NA
6/23, NA, NA, 15.600, 18.300, 15.000, 15.000, NA, 16.700, 16.700, 17.800, 15.000, 15.600, 15.600, 16.667, 17.778, 18.333, 15.000, 16.667, 17.222, 16.110, 16.667, 17.222, 18.333, 15.000, 16.667, 17.220, 15.000, 16.667, NA, NA, NA, NA, NA, NA, NA, 16.400
6/24, NA, NA, 16.100, 17.800, 15.600, 14.400, 16.100, 16.700, 14.400, 17.800, 15.000, 16.100, 15.600, 16.667, 17.222, 18.333, 13.889, 16.667, 16.667, 16.670, 17.222, 17.778, 18.333, 15.000, 16.667, 17.220, 15.000, 16.667, NA, NA, NA, NA, NA, NA, NA, NA
6/25, NA, NA, 16.700, 18.900, 15.600, 15.600, 17.800, 17.800, 15.000, 17.800, 15.600, 16.700, 16.700, 16.667, 17.778, 18.889, 15.000, 16.667, 16.667, 17.780, 17.222, 17.778, 17.778, 15.000, 16.667, 16.670, 15.560, 16.667, NA, NA, NA, NA, NA, NA, NA, NA
6/26, NA, NA, 17.200, 19.400, 16.100, 15.600, 17.800, 18.300, 16.700, 17.800, NA, 16.700, 16.700, 16.667, 17.222, 18.889, 15.000, 16.667, 17.778, 16.110, 17.778, 17.778, 18.333, 15.000, 16.667, 16.670, 15.560, 16.667, NA, NA, NA, NA, NA, NA, 15.150, NA
6/27, NA, NA, 17.200, 19.400, 16.100, 16.100, 18.300, 18.300, 16.700, 18.300, 15.600, 17.200, 16.700, 16.667, 17.778, 18.889, 15.556, 17.222, 18.333, 18.330, 17.778, 17.778, 18.333, 15.556, 16.667, 15.560, 15.560, 16.667, NA, NA, NA, NA, 17.750, NA, NA, NA
6/28, NA, NA, 17.800, 18.900, 16.700, 13.900, 18.300, 18.900, 15.600, 18.300, 16.100, 16.700, 16.700, 18.333, 17.778, 18.889, 15.556, 16.667, 17.222, 17.780, 17.778, 18.333, 18.333, 20.000, 16.667, 16.670, 15.560, 16.667, NA, NA, NA, NA, NA, NA, NA, NA
6/29, NA, NA, 17.800, 19.400, 17.800, 13.900, 17.800, 18.900, 16.700, 18.300, 15.600, 16.700, 17.800, 16.667, 17.778, 19.444, 16.111, 17.778, 17.778, 17.780, 18.333, 18.333, 18.333, 16.111, 17.222, 16.670, 16.110, 16.667, NA, NA, NA, NA, NA, NA, 15.067, NA
6/30, NA, 16.700, 17.800, 19.400, 17.800, 13.900, 17.200, 18.900, NA, 18.300, 16.700, 16.700, 17.200, 16.667, 17.222, 20.000, 16.667, 17.778, 17.778, 17.780, 18.889, 18.333, 18.333, 16.111, 17.222, 16.670, 16.670, 16.667, NA, NA, NA, NA, NA, NA, NA, NA


Notes:
Columbia River DART
Generated 30 Aug 2021 15:13:37 PDT. DART River Environment Graphics & Text www.cbr.washington.edu/dart/query/river_graph_text.

"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2021). River Environment Graphics & Text. Available from http://www.cbr.washington.edu/dart/query/river_graph_text."
